Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,official_video,EnergyLiveness,,,,,,,,,, 
album,0.8,0.658,-6.142,0.079,0.25,0,0.111,0.462,140.042,false,5.92792792792793,,,,,,,,,,
single,0.662,0.515,-6.867,0.199,0.458,0,0.163,0.386,69.808,true,3.15950920245399,,,,,,,,,,
album,0.747,0.497,-6.542,0.0401,0.248,0,0.138,0.0663,142.046,true,3.60144927536232,,,,,,,,,,
single,0.81,0.655,-6.779,0.0698,0.127,0.0000816,0.105,0.809,150.002,true,6.23809523809524,,,,,,,,,,
album,0.747,0.494,-7.957,0.141,0.393,0,0.0982,0.624,76.006,true,5.03054989816701,,,,,,,,,,
album,0.56,0.707,-6.863,0.07,0.264,0.000268,0.108,0.341,147,true,6.5462962962963,,,,,,,,,,
album,0.594,0.679,-3.702,0.345,0.484,0.00000783,0.114,0.66,106.726,false,5.95614035087719,,,,,,,,,,
album,0.724,0.443,-3.743,0.0329,0.73,0,0.101,0.763,97.194,true,4.38613861386139,,,,,,,,,,
single,0.871,0.815,-4.439,0.0477,0.127,0.00000618,0.094,0.823,122.959,false,8.67021276595745,,,,,,,,,,
album,0.719,0.753,-4.891,0.179,0.118,0.00000421,0.212,0.675,174.107,true,3.55188679245283,,,,,,,,,,
album,0.69,0.58,-4.395,0.199,0.0328,0,0.328,0.708,197.635,true,1.76829268292683,,,,,,,,,,
album,0.754,0.778,-6.663,0.0335,0.00948,0.0000161,0.131,0.916,128.925,true,5.93893129770992,,,,,,,,,,
single,0.578,0.634,-5.979,0.333,0.00473,0,0.132,0.216,183.89,true,4.8030303030303,,,,,,,,,,
single,0.483,0.492,-6.591,0.295,0.603,0,0.323,0.66,144.511,true,1.52321981424149,,,,,,,,,,
album,0.589,0.642,-5.706,0.279,0.176,0,0.119,0.691,78.791,true,5.39495798319328,,,,,,,,,,
single,0.591,0.785,-7.768,0.161,0.161,0,0.126,0.785,106.002,false,6.23015873015873,,,,,,,,,,
album,0.721,0.637,-5.134,0.286,0.0406,0,0.0525,0.691,193.922,true,12.1333333333333,,,,,,,,,,
album,0.658,0.783,-4.615,0.113,0.0798,0.00018,0.187,0.491,126.027,true,4.18716577540107,,,,,,,,,,
album,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,true,3.46280991735537,,,,,,,,,,
album,0.788,0.844,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,true,11.6735822959889,,,,,,,,,,
album,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,true,1.57787810383747,,,,,,,,,,
album,0.751,0.834,-5.444,0.0437,0.3,0.0000177,0.355,0.894,95.053,true,2.34929577464789,,,,,,,,,,
single,0.669,0.843,-3.766,0.0268,0.169,0,0.195,0.702,147.08,false,4.32307692307692,,,,,,,,,,
album,0.724,0.695,-5.226,0.0622,0.073,0,0.0889,0.235,139,true,7.8177727784027,,,,,,,,,,
album,0.791,0.733,-5.215,0.052,0.147,0.000381,0.0713,0.761,114.98,true,10.2805049088359,,,,,,,,,,
album,0.696,0.734,-5.294,0.0298,0.0485,0,0.183,0.711,107.987,true,4.01092896174863,,,,,,,,,,
album,0.717,0.587,-7.296,0.0339,0.0192,0,0.0523,0.544,129.954,true,11.2237093690249,,,,,,,,,,
album,0.762,0.766,-3.955,0.0343,0.00776,0.0000698,0.128,0.442,130.001,true,5.984375,,,,,,,,,,
single,0.813,0.56,-5.904,0.0618,0.108,0,0.268,0.287,118.033,true,2.08955223880597,,,,,,,,,,
single,0.817,0.672,-5.612,0.299,0.441,0,0.13,0.774,93.999,true,5.16923076923077,,,,,,,,,,
single,0.879,0.703,-4.219,0.0701,0.143,0,0.0569,0.788,94.004,true,12.3550087873462,,,,,,,,,,
album,0.826,0.764,-4.341,0.0522,0.337,0,0.161,0.761,126.9,true,4.74534161490683,,,,,,,,,,
album,0.522,0.697,-5.288,0.103,0.0291,0,0.319,0.235,169.775,true,2.18495297805643,,,,,,,,,,
single,0.578,0.634,-5.979,0.333,0.00473,0,0.132,0.216,183.89,true,4.8030303030303,,,,,,,,,,
album,0.756,0.689,-3.87,0.0648,0.327,0,0.0586,0.782,162.006,true,11.7576791808874,,,,,,,,,,
single,0.591,0.785,-7.768,0.161,0.161,0,0.126,0.785,106.002,false,6.23015873015873,,,,,,,,,,
